Exchange Date	Close	Adjusted Close	Net	%Chg	Open	Low	High	Volume		
13-Feb-26	303.07		1.43	0.47%	303.76	302.03	305.42	"2,206,228"		
12-Feb-26	301.64		-0.84	-0.28%	300.72	295.27	307.39	"2,467,152"		
11-Feb-26	302.48		-4.28	-1.40%	306.56	301.78	308.18	"2,532,926"		
10-Feb-26	306.76		-0.48	-0.16%	306.53	302.55	309.35	"2,262,510"		
9-Feb-26	307.24		4.97	1.64%	302.27	301.68	307.84	"2,350,616"		
6-Feb-26	302.27		4.89	1.64%	299.46	297.66	302.79	"2,927,444"		
5-Feb-26	297.38		2.76	0.94%	297	294.63	302.2	"2,497,614"		
4-Feb-26	294.62		1.55	0.53%	292.41	286.53	296.76	"3,183,278"		
3-Feb-26	293.07		2.3	0.79%	290.49	287.43	296.16	"3,977,043"		
2-Feb-26	290.77		1.71	0.59%	289.47	288.29	293.78	"2,022,632"		
30-Jan-26	289.06		-0.77	-0.27%	289.8	286.29	290.69	"1,448,306"		
29-Jan-26	289.83		3.78	1.32%	286.86	286.55	291.76	"1,940,319"		
28-Jan-26	286.05		1.57	0.55%	283.97	282.72	286.76	"1,487,097"		
27-Jan-26	284.48		0.43	0.15%	283.77	282.1	284.9	"1,553,577"		
26-Jan-26	284.05		1.32	0.47%	282.72	282.52	285.93	"1,751,431"		
23-Jan-26	282.74		1.35	0.48%	281.46	279.77	283.74	"1,725,993"		
22-Jan-26	281.39		2.32	0.83%	279.05	278.14	282.76	"1,941,519"		
21-Jan-26	279.07		-0.84	-0.30%	280.19	276.59	281.36	"2,204,949"		
20-Jan-26	279.91		0.41	0.15%	280.01	278.12	283.2	"2,490,195"		
16-Jan-26	279.5		6.91	2.53%	272.54	270.87	280.19	"2,410,060"		
15-Jan-26	272.59		-2.64	-0.96%	274.39	271.91	276.45	"1,673,735"		
14-Jan-26	275.23		6.78	2.53%	270.26	270.02	275.36	"1,758,913"		
13-Jan-26	268.45		3.47	1.31%	265.09	262.79	268.75	"3,106,812"		
12-Jan-26	264.98		2.53	0.96%	262.6	262.6	268	"3,129,663"		
9-Jan-26	262.45		-4.19	-1.57%	266.78	262.19	267.36	"1,853,452"		
8-Jan-26	266.64		-0.21	-0.08%	266.71	265.85	269.77	"1,526,778"		
7-Jan-26	266.85		-2.3	-0.86%	268.7	263.5	272.28	"2,895,293"		
6-Jan-26	269.15		-5.91	-2.15%	273.41	264.54	275	"2,909,635"		
