timestamp,Fed maintains rate,Cut 25bps,Cut >25bps,Hike 25bps,Hike >25bps
2025-10-16T00:00:00Z,51.00,,,,
2025-10-30T00:00:00Z,51.00,42.00,,,
2025-11-01T00:00:00Z,51.00,42.00,7.00,,
2025-11-06T00:00:00Z,51.00,37.00,7.00,,
2025-11-07T00:00:00Z,51.00,36.00,7.00,,
2025-11-13T00:00:00Z,51.00,36.00,7.00,,
2025-11-30T00:00:00Z,62.69,36.00,7.00,,
2025-12-02T00:00:00Z,49.83,36.00,7.00,,
2025-12-06T00:00:00Z,48.01,36.00,7.00,,
2025-12-10T00:00:00Z,54.66,36.00,7.00,,
2025-12-11T00:00:00Z,64.62,34.72,7.00,,
2025-12-12T00:00:00Z,66.00,34.72,7.00,,
2025-12-13T00:00:00Z,66.00,37.00,7.00,,
2025-12-14T00:00:00Z,66.00,37.40,7.00,,
2025-12-16T00:00:00Z,58.00,38.31,7.00,,
2025-12-17T00:00:00Z,66.00,44.81,7.00,,
2025-12-18T00:00:00Z,56.00,44.81,7.00,,
2025-12-19T00:00:00Z,56.00,45.18,7.00,,
2025-12-20T00:00:00Z,56.00,47.96,7.00,,
2025-12-21T00:00:00Z,56.00,49.00,7.00,,
2025-12-22T00:00:00Z,57.00,49.00,7.00,,
2025-12-23T00:00:00Z,52.00,56.67,7.00,,
2025-12-24T00:00:00Z,52.73,56.67,7.00,,
2025-12-25T00:00:00Z,54.96,43.24,7.00,,
2025-12-26T00:00:00Z,55.00,39.99,7.00,,
2025-12-27T00:00:00Z,59.00,37.00,7.00,,
2025-12-28T00:00:00Z,59.00,39.92,7.00,,
2025-12-29T00:00:00Z,61.40,36.00,7.00,,
2026-01-02T00:00:00Z,61.00,36.09,7.00,,
2026-01-07T00:00:00Z,63.04,37.59,7.00,,
2026-01-08T00:00:00Z,63.00,38.00,4.00,,
2026-01-09T00:00:00Z,65.99,38.00,4.00,,
2026-01-10T00:00:00Z,71.77,32.14,1.00,,
2026-01-11T00:00:00Z,72.95,27.10,4.00,,
2026-01-12T00:00:00Z,70.96,28.89,3.87,2.00,3.00
2026-01-13T00:00:00Z,72.94,29.00,3.99,2.00,3.00
2026-01-14T00:00:00Z,72.75,28.59,3.89,2.00,3.00
2026-01-15T00:00:00Z,73.36,28.98,3.74,2.00,3.00
2026-01-16T00:00:00Z,75.71,26.32,3.23,2.00,2.00
2026-01-17T00:00:00Z,78.76,22.28,1.80,1.82,1.00
2026-01-18T00:00:00Z,79.26,19.91,2.00,1.00,1.00
2026-01-19T00:00:00Z,78.91,21.13,1.97,1.00,1.00
2026-01-20T00:00:00Z,78.22,21.38,2.00,1.00,1.00
2026-01-21T00:00:00Z,80.09,20.02,2.97,1.00,1.00
2026-01-22T00:00:00Z,77.48,20.50,4.00,1.00,1.00
2026-01-23T00:00:00Z,82.21,15.63,3.02,1.00,1.00
2026-01-24T00:00:00Z,83.14,17.45,2.93,1.00,1.00
2026-01-25T00:00:00Z,79.91,20.51,2.00,1.00,1.00
2026-01-26T00:00:00Z,81.46,19.11,2.00,1.00,1.00
2026-01-27T00:00:00Z,83.67,16.00,2.00,1.00,1.00
2026-01-28T00:00:00Z,82.12,16.90,2.75,1.00,1.00
2026-01-29T00:00:00Z,89.96,9.37,2.09,1.00,1.00
2026-01-30T00:00:00Z,90.39,10.01,1.94,1.00,1.00
2026-01-31T00:00:00Z,90.54,10.06,1.99,1.00,1.00
2026-02-01T00:00:00Z,89.94,10.10,1.99,1.00,1.00
2026-02-02T00:00:00Z,90.40,10.95,1.90,1.00,1.00
2026-02-03T00:00:00Z,89.90,10.02,1.99,1.00,1.00
2026-02-04T00:00:00Z,89.53,9.83,2.00,1.00,1.00
2026-02-05T00:00:00Z,90.09,9.19,1.63,1.06,1.00
2026-02-06T00:00:00Z,86.09,12.47,1.98,1.03,1.00
2026-02-07T00:00:00Z,85.30,14.01,1.99,1.00,1.00
2026-02-08T00:00:00Z,85.43,14.53,1.82,1.00,1.00
2026-02-09T00:00:00Z,82.32,16.52,1.99,1.00,1.00
2026-02-10T00:00:00Z,81.10,17.16,2.37,1.00,1.00
2026-02-11T00:00:00Z,79.41,18.40,2.56,1.00,1.00
2026-02-12T00:00:00Z,88.63,9.05,1.24,1.00,1.00
2026-02-13T00:00:00Z,92.18,7.23,1.91,1.00,1.00
2026-02-14T00:00:00Z,92.00,7.66,1.67,1.00,1.00
2026-02-15T00:00:00Z,92.51,7.95,1.78,1.00,1.00
2026-02-16T00:00:00Z,92.10,7.94,1.90,1.00,1.00
2026-02-17T00:00:00Z,92.16,7.83,1.33,1.00,1.00
