Exchange Date	Close	Net	%Chg	Open	Low	High
17-Feb-2026	68.84	-1.26	-1.81%	70.10	68.84	70.10
13-Feb-2026	70.10	+1.53	+2.23%	68.57	68.57	70.10
12-Feb-2026	68.57	+7.22	+11.77%	61.35	61.35	68.57
11-Feb-2026	61.35	-3.20	-4.96%	64.55	61.35	64.55
10-Feb-2026	64.55	+1.81	+2.88%	62.74	62.74	64.55
09-Feb-2026	62.74	-0.88	-1.38%	63.62	62.74	63.62
06-Feb-2026	63.62	+1.46	+2.35%	62.16	62.16	63.62
05-Feb-2026	62.16	+4.65	+8.09%	57.51	57.51	62.16
04-Feb-2026	57.51	-0.03	-0.05%	57.54	57.51	57.54
03-Feb-2026	57.54	-1.76	-2.97%	59.30	57.54	59.30
02-Feb-2026	59.30	+0.10	+0.17%	59.20	59.20	59.30
30-Jan-2026	59.20	-1.53	-2.52%	60.73	59.20	60.73
29-Jan-2026	60.73	+3.30	+5.75%	57.43	57.43	60.73
28-Jan-2026	57.43	+1.31	+2.33%	56.12	56.12	57.43
27-Jan-2026	56.12	+0.35	+0.63%	55.77	55.77	56.12
26-Jan-2026	55.77	-0.48	-0.85%	56.25	55.77	56.25
23-Jan-2026	56.25	-0.25	-0.44%	56.50	56.25	56.50
22-Jan-2026	56.50	-3.06	-5.14%	59.56	56.50	59.56
21-Jan-2026	59.56	-7.11	-10.66%	66.67	59.56	66.67
20-Jan-2026	66.67	+8.62	+14.85%	58.05	58.05	66.67
16-Jan-2026	58.05	+1.91	+3.40%	58.05	58.05	58.05
15-Jan-2026	56.14	-1.97	-3.39%	58.11	56.14	58.11
14-Jan-2026	58.11	-2.68	-4.41%	60.79	58.11	60.79
13-Jan-2026	60.79	-2.11	-3.35%	62.90	60.79	62.90
12-Jan-2026	62.90	+1.35	+2.19%	61.55	61.55	62.90
09-Jan-2026	61.55	-5.39	-8.05%	66.94	61.55	66.94
08-Jan-2026	66.94	+0.79	+1.19%	66.15	66.15	66.94
07-Jan-2026	66.15	+0.33	+0.50%	65.82	65.82	66.15
06-Jan-2026	65.82	+1.11	+1.72%	64.71	64.71	65.82
05-Jan-2026	64.71	+2.35	+3.77%	62.36	62.36	64.71
02-Jan-2026	62.36	-1.60	-2.50%	63.96	62.36	63.96
31-Dec-2025	63.96	-0.02	-0.03%	63.98	63.96	63.98
30-Dec-2025	63.98	+4.77	+8.06%	59.21	59.21	63.98
29-Dec-2025	59.21	+0.71	+1.21%	58.50	58.50	59.21
26-Dec-2025	58.50	-0.98	-1.65%	59.48	58.50	59.48
24-Dec-2025	59.48	-1.69	-2.76%	61.17	59.48	61.17
23-Dec-2025	61.17	-0.53	-0.86%	61.70	61.17	61.70
22-Dec-2025	61.70	+2.29	+3.85%	59.41	59.41	61.70
