Dates	Close
Feb-19-2021	22.05
Feb-22-2021	23.45
Feb-23-2021	23.11
Feb-24-2021	21.34
Feb-25-2021	28.89
Feb-26-2021	27.95
Mar-01-2021	23.35
Mar-02-2021	24.10
Mar-03-2021	26.67
Mar-04-2021	28.57
Mar-05-2021	24.66
Mar-08-2021	25.47
Mar-09-2021	24.03
Mar-10-2021	22.56
Mar-11-2021	21.91
Mar-12-2021	20.69
Mar-15-2021	20.03
Mar-16-2021	19.79
Mar-17-2021	19.23
Mar-18-2021	21.58
Mar-19-2021	20.95
Mar-22-2021	18.88
Mar-23-2021	20.30
Mar-24-2021	21.20
Mar-25-2021	19.81
Mar-26-2021	18.86
Mar-29-2021	20.74
Mar-30-2021	19.61
Mar-31-2021	19.40
Apr-01-2021	17.33
Apr-05-2021	17.91
Apr-06-2021	18.12
Apr-07-2021	17.16
Apr-08-2021	16.95
Apr-09-2021	16.69
Apr-12-2021	16.91
Apr-13-2021	16.65
Apr-14-2021	16.99
Apr-15-2021	16.57
Apr-16-2021	16.25
Apr-19-2021	17.29
Apr-20-2021	18.68
Apr-21-2021	17.50
Apr-22-2021	18.71
Apr-23-2021	17.33
Apr-26-2021	17.64
Apr-27-2021	17.56
Apr-28-2021	17.28
Apr-29-2021	17.61
Apr-30-2021	18.61
May-03-2021	18.31
May-04-2021	19.48
May-05-2021	19.15
May-06-2021	18.39
May-07-2021	16.69
May-10-2021	19.66
May-11-2021	21.84
May-12-2021	27.59
May-13-2021	23.13
May-14-2021	18.81
May-17-2021	19.72
May-18-2021	21.34
May-19-2021	22.18
May-20-2021	20.67
May-21-2021	20.15
May-24-2021	18.40
May-25-2021	18.84
May-26-2021	17.36
May-27-2021	16.74
May-28-2021	16.76
Jun-01-2021	17.90
Jun-02-2021	17.48
Jun-03-2021	18.04
Jun-04-2021	16.42
Jun-07-2021	16.42
Jun-08-2021	17.07
Jun-09-2021	17.89
Jun-10-2021	16.10
Jun-11-2021	15.65
Jun-14-2021	16.39
Jun-15-2021	17.02
Jun-16-2021	18.15
Jun-17-2021	17.75
Jun-18-2021	20.70
Jun-21-2021	17.89
Jun-22-2021	16.66
Jun-23-2021	16.32
Jun-24-2021	15.97
Jun-25-2021	15.62
Jun-28-2021	15.76
Jun-29-2021	16.02
Jun-30-2021	15.83
Jul-01-2021	15.48
Jul-02-2021	15.07
Jul-06-2021	16.44
Jul-07-2021	16.20
Jul-08-2021	19.00
Jul-09-2021	16.18
Jul-12-2021	16.17
Jul-13-2021	17.12
Jul-14-2021	16.33
Jul-15-2021	17.01
Jul-16-2021	18.45
Jul-19-2021	22.50
Jul-20-2021	19.73
Jul-21-2021	17.91
Jul-22-2021	17.69
Jul-23-2021	17.20
Jul-26-2021	17.58
Jul-27-2021	19.36
Jul-28-2021	18.31
Jul-29-2021	17.70
Jul-30-2021	18.24
Aug-02-2021	19.46
Aug-03-2021	18.04
Aug-04-2021	17.97
Aug-05-2021	17.28
Aug-06-2021	16.15
Aug-09-2021	16.72
Aug-10-2021	16.79
Aug-11-2021	16.06
Aug-12-2021	15.59
Aug-13-2021	15.45
Aug-16-2021	16.12
Aug-17-2021	17.91
Aug-18-2021	21.57
Aug-19-2021	21.67
Aug-20-2021	18.56
Aug-23-2021	17.15
Aug-24-2021	17.22
Aug-25-2021	16.79
Aug-26-2021	18.84
Aug-27-2021	16.39
Aug-30-2021	16.19
Aug-31-2021	16.48
Sep-01-2021	16.11
Sep-02-2021	16.41
Sep-03-2021	16.41
Sep-07-2021	18.14
Sep-08-2021	17.96
Sep-09-2021	18.80
Sep-10-2021	20.95
Sep-13-2021	19.37
Sep-14-2021	19.46
Sep-15-2021	18.18
Sep-16-2021	18.69
Sep-17-2021	20.81
Sep-20-2021	25.71
Sep-21-2021	24.36
Sep-22-2021	20.87
Sep-23-2021	18.63
Sep-24-2021	17.75
Sep-27-2021	18.76
Sep-28-2021	23.25
Sep-29-2021	22.56
