Exchange Date	Close	Adjusted Close	Net	%Chg	Open	Low	High	Volume	
13-Feb-2026	626.89		+0.40	+0.06%	626.93	623.12	631.17	"9,312,797"	
12-Feb-2026	626.49		-9.86	-1.55%	638.51	625.76	639.52	"8,951,077"	
11-Feb-2026	636.35		-0.09	-0.01%	640.49	633.84	641.15	"5,344,960"	
10-Feb-2026	636.44		-1.79	-0.28%	639.14	636.08	640.62	"13,645,334"	
09-Feb-2026	638.23		+2.99	+0.47%	634.07	633.11	639.99	"8,908,503"	
06-Feb-2026	635.24		+12.14	+1.95%	626.72	626.20	636.72	"12,987,908"	
05-Feb-2026	623.10		-7.81	-1.24%	626.24	621.50	628.75	"11,714,651"	
04-Feb-2026	630.91		-3.24	-0.51%	634.93	627.00	635.92	"11,321,975"	
03-Feb-2026	634.15		-5.53	-0.86%	640.33	629.11	641.00	"9,702,804"	
02-Feb-2026	639.68		+3.46	+0.54%	634.18	634.07	640.96	"9,490,299"	
30-Jan-2026	636.22		-2.05	-0.32%	636.25	631.95	638.45	"6,562,342"	
29-Jan-2026	638.27		-1.33	-0.21%	640.43	629.82	641.04	"8,697,180"	
28-Jan-2026	639.60		-0.10	-0.02%	641.05	638.22	641.81	"5,568,673"	
27-Jan-2026	639.70		+2.61	+0.41%	638.42	637.87	640.60	"4,339,560"	
26-Jan-2026	637.09		+3.26	+0.51%	635.03	634.52	638.39	"9,007,380"	
23-Jan-2026	633.83		+0.26	+0.04%	632.88	631.97	635.47	"5,850,367"	
22-Jan-2026	633.57		+3.28	+0.52%	634.43	631.75	635.62	"6,085,520"	
21-Jan-2026	630.29		+7.14	+1.15%	625.02	623.65	633.40	"10,403,839"	
20-Jan-2026	623.15		-12.94	-2.03%	626.76	622.22	629.76	"14,877,629"	
16-Jan-2026	636.09		-0.53	-0.08%	637.96	634.68	638.51	"6,733,684"	
15-Jan-2026	636.62		+1.68	+0.26%	638.77	635.70	639.58	"6,936,972"	
14-Jan-2026	634.94		-3.09	-0.48%	635.49	631.00	636.12	"8,683,436"	
13-Jan-2026	638.03		-1.31	-0.20%	639.68	635.82	640.15	"8,859,978"	
12-Jan-2026	639.34		+1.03	+0.16%	635.19	635.16	640.16	"7,929,830"	
09-Jan-2026	638.31		+4.25	+0.67%	635.15	633.80	639.44	"7,864,139"	
08-Jan-2026	634.06		-0.11	-0.02%	633.48	632.24	635.10	"9,017,437"	
07-Jan-2026	634.17		-2.04	-0.32%	636.58	633.93	638.22	"8,820,106"	
06-Jan-2026	636.21		+3.75	+0.59%	632.64	632.53	636.68	"8,672,000"	
05-Jan-2026	632.46		+4.16	+0.66%	631.38	631.23	634.04	"16,175,621"	
02-Jan-2026	628.30		+1.17	+0.19%	630.64	625.21	631.66	"11,337,024"	
31-Dec-2025	627.13		-4.59	-0.73%	631.94	626.94	632.14	"5,556,821"	
30-Dec-2025	631.72		-0.88	-0.14%	632.20	631.41	633.21	"4,180,422"	
